"----Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",45,-,38,-,6,-
"----Lathe and turning machine tool setters, operators, and tenders, metal and plastic",6,-,6,-,0,-
"----Milling and planing machine setters, operators, and tenders, metal and plastic",3,-,3,-,0,-
----Machinists,351,764,339,770,12,-
"----Metal furnace operators, tenders, pourers, and casters",26,-,26,-,0,-
"----Model makers and patternmakers, metal and plastic",4,-,2,-,2,-
"----Molders and molding machine setters, operators, and tenders, metal and plastic",34,-,31,-,3,-
"----Multiple machine tool setters, operators, and tenders, metal and plastic",4,-,2,-,2,-
----Tool and die makers,60,1020,59,1025,1,-
"----Welding, soldering, and brazing workers",551,723,526,733,25,-
"----Heat treating equipment setters, operators, and tenders, metal and plastic",4,-,3,-,1,-
"----Layout workers, metal and plastic",9,-,8,-,1,-
"----Plating and coating machine setters, operators, and tenders, metal and plastic",24,-,22,-,2,-
"----Tool grinders, filers, and sharpeners",7,-,7,-,0,-
"----Metal workers and plastic workers, all other",333,624,262,647,71,511
----Prepress technicians and workers,20,-,13,-,7,-
----Printing press operators,173,646,140,686,32,-
----Print binding and finishing workers,18,-,8,-,10,-
----Laundry and dry-cleaning workers,128,417,48,-,80,410
"----Pressers, textile, garment, and related materials",30,-,13,-,17,-
----Sewing machine operators,114,440,19,-,95,432
----Shoe and leather workers and repairers,2,-,2,-,0,-
----Shoe machine operators and tenders,1,-,0,-,1,-
"----Tailors, dressmakers, and sewers",42,-,11,-,31,-
----Textile bleaching and dyeing machine operators and tenders,3,-,3,-,0,-
"----Textile cutting machine setters, operators, and tenders",8,-,7,-,1,-
"----Textile knitting and weaving machine setters, operators, and tenders",6,-,4,-,2,-
"----Textile winding, twisting, and drawing out machine setters, operators, and tenders",12,-,4,-,7,-
"----Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,-,0,-,0,-
----Fabric and apparel patternmakers,1,-,0,-,1,-
----Upholsterers,22,-,20,-,2,-
"----Textile, apparel, and furnishings workers, all other",11,-,6,-,5,-
----Cabinetmakers and bench carpenters,30,-,26,-,3,-
----Furniture finishers,5,-,5,-,0,-
"----Model makers and patternmakers, wood",0,-,0,-,0,-
"----Sawing machine setters, operators, and tenders, wood",27,-,25,-,2,-
"----Woodworking machine setters, operators, and tenders, except sawing",19,-,17,-,2,-
"----Woodworkers, all other",16,-,13,-,3,-
"----Power plant operators, distributors, and dispatchers",47,-,43,-,4,-
----Stationary engineers and boiler operators,93,1044,92,1051,2,-
----Water and wastewater treatment plant and system operators,69,833,66,835,3,-
----Miscellaneous plant and system operators,39,-,36,-,2,-
"----Chemical processing machine setters, operators, and tenders",55,818,53,831,2,-
"----Crushing, grinding, polishing, mixing, and blending workers",67,686,60,694,7,-
----Cutting workers,43,-,36,-,7,-
"----Extruding, forming, pressing, and compacting machine setters, operators, and tenders",39,-,29,-,9,-
"----Furnace, kiln, oven, drier, and kettle operators and tenders",11,-,9,-,2,-
"----Inspectors, testers, sorters, samplers, and weighers",675,728,443,820,231,578
